Lieu;idmotspip;Type;SousType;Description;AnneeMSI;AnneeMAD;Status;FranceNuc;Andra;EDF;INSC;url;nbPhotos;the_geom;PlaceApproximative;Priority;RecNo;RecNoPere;UpdateTimestamp;longitude;latitude
Strasbourg;0;déchets;recherche;« Réacteur Universitaire de Strasbourg » (RUS) - réacteur d'études et de recherche de puissance thermique de 0.1 MWth. principalement utilisé pour la réalisation d'irradiations expérimentales et la production de radionucléides à vie courte.;1967;1997;;;ALS16.pdf;;;;0;;1;100;83;NULL;2018-10-12 13:02:05;7.70562279096878;48.5881545915853
Bure;153;déchets;qualification;études portant sur l'enfouissement des déchets;NULL;NULL;Marche;lorr_bure_f.htm;;;;;3;;0;100;121;NULL;2018-12-17 14:10:10;5.35751567868478;48.4913385721634
Wintzenheim;0;déchets;industriel;JAZ - montres et réveils avec peintures radioluminescentes au radium (jusque dans les années 60).;NULL;NULL;;;ALS9.pdf;;;;0;;1;100;46;NULL;2018-10-12 13:02:05;7.29031600000003;48.072898
Thann;0;déchets;industriel;Thann et Mulhouse (Groupe Rhône-Poulenc). puis Milenium Inorganic Chemicals Thann SAS. produit de l'oxyde de titane à partir d'un sable naturel (ilménite. rutile. slag) comportant des traces d'éléments radioactifs (uranium. thorium).;NULL;NULL;;;ALS15.pdf;;;;0;;1;100;51;NULL;2018-10-12 13:02:05;7.1169763024232;47.8040059056332
Serquigny;0;déchets;industriel;Société des Terres Rares puis Atofina (ex-Elf Atchem) - usine pour la production du nitrate de thorium;NULL;NULL;;hnorm_serq_f.htm;HAN4.pdf;;;;0;;1;100;56;NULL;2018-10-12 13:02:05;0.709413837059601;49.1069824844812
Rogerville;0;déchets;industriel;Hydro Agri France - unité de production d'engrais;NULL;1992;Arrêt définitif;;HAN6.pdf;;;;0;;1;100;59;NULL;2018-10-12 13:02:05;0.265175789681146;49.5002417253877
Ottmarsheim;0;déchets;industriel;installations de production d'acide phosphorique;NULL;NULL;;;ALS14.pdf;;;;0;;1;100;65;NULL;2018-10-12 13:02:05;7.52259202029797;47.7818802812496
Jarrie;0;déchets;industriel;usine pour la production d'éponge de zirconium et autres métaux;NULL;NULL;;rhone_jar_f.htm;RHO54.pdf;;;;0;;1;100;74;NULL;2018-10-12 13:02:05;5.75858665319073;45.1137924709501
Ganagobie;0;déchets;industriel;Isotopchim - fabrication et de commercialisation de molécules marquées. principalement au carbone 14;NULL;NULL;;;PRO5.pdf;;;;0;;1;100;77;NULL;2018-10-12 13:02:05;5.92249417767765;44.0039800107782
Boucau;0;déchets;industriel;Saint-Gobain puis Reno - usine de production de pesticides - traitement de minerais dont monazite;NULL;NULL;Marche;aquit_bocau_f.htm;AQU7.pdf;;;;0;;1;100;93;NULL;2018-10-12 13:02:05;-1.46943726722239;43.5251515127816
Aubervilliers;0;déchets;industriel;entreprise de fonderie de matériaux de récupération;NULL;NULL;;;IPC60.pdf;;;;0;;1;100;100;NULL;2018-10-12 13:02:05;2.38107096621426;48.9145565122185
Arudy;0;déchets;industriel;fonderie pour la production de métaux;NULL;NULL;Marche;aquit_arudy_f.htm;AQU6.pdf;;;;0;;1;100;101;NULL;2018-10-12 13:02:05;-0.425970492962677;43.0990880564254
Solérieux;0;déchets;décharge;décharge industrielle de catégorie 2;NULL;NULL;;rhone_sol_f.htm;RHO18.pdf;;;;0;;1;100;53;NULL;2018-10-12 13:02:05;4.83641933486292;44.3413914018355
La Hague;167;déchets;;CSM - stockage final de déchets dits de faible activité à vie courte;NULL;NULL;Marche;bnorm_csm_f.htm;BAN3-12-13.pdf;;;;0;;1;100;189;73;2018-12-18 15:42:36;-1.86223;49.67761
Soulaines;0;déchets;;CSA - stockage final de déchets dits de faible activité à vie courte;NULL;NULL;Marche;champ_csa_f.htm;CHA2.pdf;;;;6;;0;100;117;NULL;2018-10-12 13:02:05;4.68043458796629;48.3997604736627
Marcoule;108;déchets;;CODOLET-CENTRACO - réduction de volume des déchets et développement de procédés;NULL;NULL;;lang_codo_f.htm;LAR3-7-9-etc.pdf;;;http://www.francenuc.org/fr_sites/lang_marc_f.htm;8;;0;100;69;NULL;2018-12-18 15:37:07;4.69809533909782;44.1386397298062
fosse des Casquets;0;déchets;;immersion de déchets belges et britanniques à 100-150 m de profondeur;1952;1963;;;;;;;0;;0;100;205;NULL;2018-10-12 13:02:05;-2.34768;49.87091
Morvilliers;0;déchets;centre de stockage;stockage de déchets nucléaires Très Faiblement Radioactifs;2003;NULL;;;;;;http://www.andra.fr/andra-aube/pages/fr/menu4/le-centre-de-stockage-tfa/le-centre-1093.html;3;;0;80;209;NULL;2018-10-12 13:02:05;4.666667;48.373333
Le Bugey;0;déchets;;ICEDA - projet d'Installation de Conditionnement et d'Entreposage de Déchets Activés;NULL;NULL;;;;;; 	http://www.sortirdunucleaire.org/index.php?menu=actualites&sousmenu=dossiers&soussousmenu=Iceda&page=index;0;;0;100;214;NULL;2018-10-12 13:02:05;5.2665381880229;45.807224801342
